,Site,Cluster,Access Condition,Date of arrival,Manufacturing date,Nodes,#,Name,Cores,Architecture,Memory,Storage,Network,Accelerators
0,Grenoble,dahu,,2018-03-22,2017-12-12,32,2,Intel Xeon Gold 6130,16 cores/CPU,x86_64,192 GiB,240 GB SSD + 480 GB SSD + 4.0 TB HDD,10 Gbps + 100 Gbps Omni-Path,
3,Grenoble,troll,exotic job type,2019-12-23,2019-11-21,4,2,Intel Xeon Gold 5218,16 cores/CPU,x86_64,384 GiB + 1.5 TiB PMEM,480 GB SSD + 1.6 TB SSD,25 Gbps (SR‑IOV) + 100 Gbps Omni-Path,
4,Grenoble,yeti,exotic job type,2018-01-16,2017-12-26,4,4,Intel Xeon Gold 6130,16 cores/CPU,x86_64,768 GiB,480 GB SSD + 3 x 2.0 TB HDD* + 2 x 1.6 TB SSD,10 Gbps + 100 Gbps Omni-Path,
6,Lille,chifflot,,2018-08-01,2018-07-17,8,2,Intel Xeon Gold 6126,12 cores/CPU,x86_64,192 GiB,480 GB SSD + 480 GB SSD* + 4 x 4.0 TB HDD*,2 x 25 Gbps,[1-6]: 2 x Nvidia Tesla P100 (16 GiB)[7-8]: 2 x Nvidia Tesla V100 (32 GiB)
7,Lille,chirop,,2024-01-25,2023-05-02,5,2,Intel Xeon Platinum 8358,32 cores/CPU,x86_64,512 GiB,1.92 TB SSD + 2 x 3.84 TB SSD,2 x 25 Gbps,
8,Luxembourg,petitprince,,2013-09-10,2012-10-30,11,2,Intel Xeon E5-2630L,6 cores/CPU,x86_64,32 GiB,250 GB HDD,2 x 10 Gbps,
9,Lyon,gemini,exotic job type,2019-09-01,2019-06-12,2,2,Intel Xeon E5-2698 v4,20 cores/CPU,x86_64,512 GiB,480 GB SSD + 4 x 1.92 TB SSD*,10 Gbps (SR‑IOV) + 3 x 100 Gbps InfiniBand,8 x Nvidia Tesla V100 (32 GiB)
10,Lyon,hercule,,2012-10-02,2012-07-19,4,2,Intel Xeon E5-2620,6 cores/CPU,x86_64,32 GiB,2.0 TB HDD + 2 x 2.0 TB HDD,10 Gbps (SR‑IOV),
12,Lyon,nova,,2016-12-01,2016-10-28,22,2,Intel Xeon E5-2620 v4,8 cores/CPU,x86_64,64 GiB,598 GB HDD,10 Gbps (SR‑IOV),
13,Lyon,orion,,2012-09-14,2012-07-16,3,2,Intel Xeon E5-2630,6 cores/CPU,x86_64,32 GiB,299 GB HDD,10 Gbps (SR‑IOV),Nvidia Tesla M2075 (5 GiB)**
17,Lyon,taurus,,2012-09-14,2012-07-16,12,2,Intel Xeon E5-2630,6 cores/CPU,x86_64,32 GiB,299 GB HDD,10 Gbps (SR‑IOV),
18,Nancy,gros,,2019-09-04,2019-07-16,124,1,Intel Xeon Gold 5220,18 cores/CPU,x86_64,96 GiB,480 GB SSD + 960 GB SSD*,2 x 25 Gbps (SR‑IOV),
20,Nantes,econome,,2014-04-16,2012-06-28,22,2,Intel Xeon E5-2660,8 cores/CPU,x86_64,64 GiB,2.0 TB HDD,10 Gbps (SR‑IOV),
21,Nantes,ecotype,,2017-10-16,2017-07-11,48,2,Intel Xeon E5-2630L v4,10 cores/CPU,x86_64,128 GiB,400 GB SSD,10 Gbps (SR‑IOV),
22,Rennes,parasilo,,2015-01-13,2015-01-13,27,2,Intel Xeon E5-2630 v3,8 cores/CPU,x86_64,128 GiB,600 GB HDD + 4 x 600 GB HDD* + 200 GB SSD*,2 x 10 Gbps (SR‑IOV),
23,Rennes,paravance,,2015-01-13,2015-01-13,72,2,Intel Xeon E5-2630 v3,8 cores/CPU,x86_64,128 GiB,600 GB HDD + 600 GB HDD,2 x 10 Gbps (SR‑IOV),
24,Sophia,uvb,,2011-01-04,2011-01-04,30,2,Intel Xeon X5670,6 cores/CPU,x86_64,96 GiB,250 GB HDD,1 Gbps (SR‑IOV) + 40 Gbps InfiniBand,
26,Toulouse,montcalm,,2022-12-01,2022-11-06,10,2,Intel Xeon Silver 4314,16 cores/CPU,x86_64,256 GiB,960 GB SSD,10 Gbps,
27,Nancy,graffiti,production queue,2019-06-07,2019-05-27,13,2,Intel Xeon Silver 4110,8 cores/CPU,x86_64,128 GiB,479 GB HDD,10 Gbps,[1-12]: 4 x Nvidia RTX 2080 Ti (11 GiB)13: 4 x Nvidia Quadro RTX 6000 (23 GiB)
28,Nancy,grappe,production queue,2020-08-20,2020-07-09,16,2,Intel Xeon Gold 5218R,20 cores/CPU,x86_64,96 GiB,480 GB SSD + 8.0 TB HDD*,25 Gbps,
30,Nancy,grele,production queue,2017-06-26,2017-06-07,14,2,Intel Xeon E5-2650 v4,12 cores/CPU,x86_64,128 GiB,299 GB HDD + 299 GB HDD,10 Gbps (SR‑IOV) + 100 Gbps Omni-Path,2 x Nvidia GTX 1080 Ti (11 GiB)
